日期,现金,持仓市值,总资产,持仓数量
2019-07-30,111.558000000834,1450081.0550000002,1438019.738000001,5
2019-07-31,270.61800000077346,1451169.364,1438912.2590000008,5
2019-08-01,220.50200000073528,1444484.114,1435590.3180000007,5
2019-08-02,339.8290000007353,1444484.114,1435865.4050000007,5
2019-08-05,276.34400000068126,1448080.839,1430925.4230000007,5
2019-08-06,200.5890000007348,1445855.186,1417676.7230000007,5
2019-08-07,227.76500000071246,1451324.0699999998,1438166.3950000005,5
2019-08-08,200.88300000078743,1452970.0499999998,1436299.845000001,5
2019-08-09,252.933000000834,1449679.7280000001,1438693.303000001,5
2019-08-12,367.6630000008154,1459539.51,1444180.1080000007,5
2019-08-13,163.19800000078976,1458519.104,1453261.0840000007,5
2019-08-14,277.602000000712,1488059.11,1443403.9120000007,5
2019-08-15,167.64200000069582,1487934.85,1447703.1120000007,5
2019-08-16,334.5920000006398,1494542.47,1452527.0520000008,5
2019-08-19,242.94500000058906,1502688.873,1469235.9690000007,5
2019-08-20,254.38300000046183,1504497.005,1503247.0970000005,5
2019-08-21,145.13500000053318,1501952.9729999998,1491930.8730000004,5
2019-08-22,322.72900000057416,1503303.315,1490100.1810000003,5
2019-08-23,353.97900000057416,1500267.9929999998,1489494.9890000005,5
2019-08-26,291.1320000006235,1504592.829,1483609.547000001,5
2019-08-27,380.8070000006701,1505182.704,1490944.7770000007,5
2019-08-28,315.08300000074087,1506029.584,1488098.8750000007,5
2019-08-29,379.1250000007849,1516843.354,1495751.7730000007,5
2019-08-30,354.21500000078413,1516843.354,1488929.7050000008,5
2019-09-02,193.11900000076275,1517050.21,1492757.7410000009,5
2019-09-03,333.11900000087917,1520316.5899999999,1501261.5190000008,5
2019-09-04,241.0590000008815,1538253.5799999998,1515274.2990000008,5
2019-09-05,250.25900000083493,1542580.42,1521812.7790000008,5
2019-09-06,331.799000000814,1549122.38,1537497.999000001,5
2019-09-09,328.55300000077114,1545469.77,1550210.219000001,5
2019-09-10,321.64300000068033,1534050.468,1552096.1230000006,5
2019-09-11,311.9510000006412,1523997.443,1541117.1210000005,5
2019-09-12,310.9420000006794,1516509.781,1521881.0250000006,5
2019-09-16,337.0930000008084,1505715.057,1523068.959000001,5
2019-09-17,279.9360000008646,1512544.377,1508771.7750000008,5
2019-09-18,268.13200000090046,1511876.1909999999,1515387.742000001,5
2019-09-19,368.46100000082515,1552893.9959999998,1509030.2340000009,5
2019-09-20,345.98100000078557,1532043.49,1547866.4670000006,5
2019-09-23,238.30100000090897,1530861.58,1544582.131000001,5
2019-09-24,326.12100000079954,1490681.0899999999,1528249.861000001,5
2019-09-25,375.7020000006887,1487769.71,1508546.3270000007,5
2019-09-26,177.21200000063982,1487072.9699999997,1484935.352000001,5
2019-09-27,276.67600000067614,1486379.307,1483471.6120000004,5
2019-09-30,286.18500000069616,1485495.61,1471037.2450000008,5
2019-10-08,258.57500000076834,1502888.97,1473109.5250000008,5
2019-10-09,309.4450000008801,1513412.9,1492937.955000001,5
2019-10-10,298.5150000008871,1518664.8399999999,1519640.8150000009,5
2019-10-11,303.6000000007916,1528457.91,1535622.3970000006,5
2019-10-14,374.23600000090664,1533596.322,1556204.990000001,5
2019-10-15,341.12100000074133,1538633.945,1534421.0270000007,5
2019-10-16,328.20800000074087,1541895.0699999998,1550792.117000001,5
2019-10-17,287.11600000058024,1534135.4700000002,1550114.3670000008,5
2019-10-18,321.64800000051036,1525794.5159999998,1541600.8560000006,5
2019-10-21,206.3280000005616,1522189.1560000002,1526199.9880000004,5
2019-10-22,379.1780000006547,1562321.184,1528599.5580000007,5
2019-10-23,390.54900000058115,1572273.898,1519536.3870000006,5
2019-10-24,353.82500000071013,1596416.472,1513251.6950000008,5
2019-10-25,235.23500000068452,1611826.742,1530563.5250000004,5
2019-10-28,259.1800000006915,1573818.6670000001,1609789.4380000005,5
2019-10-29,260.0480000007665,1550629.248,1576372.5290000006,5
2019-10-30,278.2270000007702,1545338.586,1559708.0750000007,5
2019-10-31,269.38100000080885,1558728.142,1536812.1670000008,5
2019-11-01,251.55500000080792,1557792.844,1535531.479000001,5
2019-11-04,345.83700000081444,1554461.704,1534943.1440000008,5
2019-11-05,204.9230000008247,1604320.6639999999,1535455.9340000008,5
2019-11-06,341.58600000076694,1649016.778,1548192.990000001,5
2019-11-07,226.36400000064168,1626595.5909999998,1632283.770000001,5
2019-11-08,229.9510000004666,1612639.327,1627528.6350000002,5
2019-11-11,250.144000000495,1611464.181,1613734.0830000003,5
2019-11-12,166.32200000068406,1604152.399,1614370.0620000004,5
2019-11-13,297.3620000007795,1608049.449,1605665.7520000008,5
2019-11-14,372.341000000888,1598362.1230000001,1605335.3250000007,5
2019-11-15,271.82400000089547,1624170.423,1606887.2140000009,5
2019-11-18,267.2210000007917,1631900.211,1598993.713000001,5
2019-11-19,240.07400000089547,1643647.114,1616962.2780000009,5
2019-11-20,279.8540000007488,1630774.0799999998,1641090.9010000008,5
2019-11-21,245.03000000072643,1610671.8250000002,1635497.5490000008,5
2019-11-22,345.11800000071344,1617734.6950000003,1624433.9230000009,5
2019-11-25,231.3190000007162,1613475.165,1625607.213000001,5
2019-11-26,311.411000000732,1608083.511,1625821.5890000006,5
2019-11-27,227.30200000073137,1608083.511,1614539.227000001,5
2019-11-28,409.2610000008135,1618583.9649999999,1610292.8940000008,5
2019-11-29,229.40100000071106,1619948.1350000002,1609197.3130000008,5
2019-12-02,405.7470000006724,1636459.145,1610887.6270000006,5
2019-12-03,283.1710000006133,1662133.83,1609498.0420000004,5
2019-12-04,2931.823000000615,1650376.2700000003,1622590.3930000004,5
2019-12-05,152.23300000064773,1688246.6300000001,1632971.6930000007,5
2019-12-06,294.0350000007893,1685882.83,1619231.7650000008,5
